shipment_id,origin,destination,weight_kg,declared_value,shipping_date
SH00001,West Vanessatown,Lake Charlesland,462.21,3713.46,2026-05-22
SH00002,Curtisburgh,Brightland,472.24,7607.89,2026-05-30
SH00003,South Alicia,South Diamondmouth,232.2,5112.87,2026-06-14
SH00004,South Jay,South John,498.28,4583.65,2026-05-29
SH00005,Melissaburgh,Robertport,360.05,3723.18,2026-05-25
SH00006,New Shawnstad,North Davidbury,365.09,3687.08,2026-06-26
SH00007,Mirandaville,East Virginia,469.12,2208.12,2026-06-07
SH00008,South Matthew,Devonton,197.21,4396.34,2026-06-09
SH00009,Sharonborough,Port Michaelport,264.93,4493.37,2026-07-13
SH00010,New Jeffreybury,Lake Nancy,82.96,8256.28,2026-05-21
SH00011,Stonemouth,Port Natalie,5.03,7925.54,2026-06-02
SH00012,Chambersborough,Davisview,277.56,8802.37,2026-06-27
SH00013,Lake Jessica,North Michael,394.48,4782.49,2026-06-10
SH00014,Danielleborough,Douglasshire,93.84,7937.44,2026-07-11
SH00015,Clarkeshire,Teresaburgh,255.87,6950.99,2026-05-30
SH00016,Lake Amberport,Jonathanburgh,3.39,5733.12,2026-07-14
SH00017,New Sarahberg,Port Elizabethchester,111.37,4274.81,2026-07-09
SH00018,New Christopherchester,South Jillian,429.87,2480.78,2026-07-09
SH00019,West Tyrone,Lake Noahborough,453.18,9820.59,2026-06-19
SH00020,Jamesfurt,North Stephentown,292.53,7202.3,2026-06-18
SH00021,Ashleyfurt,Nancymouth,12.94,2887.1,2026-06-14
SH00022,Kristenburgh,North Alexandraside,269.49,1613.25,2026-06-02
SH00023,Jacobville,South Alexisport,26.97,2637.9,2026-06-26
SH00024,Laurachester,North Robertfurt,17.25,5408.28,2026-07-12
SH00025,Brandonville,Christophertown,145.81,6286.35,2026-06-17
SH00026,South Michelleland,Lake Monique,364.89,1409.02,2026-06-30
SH00027,Lake David,Davidborough,145.88,1702.22,2026-07-05
SH00028,West Jennifer,Chapmantown,412.95,1237.03,2026-07-17
SH00029,West Michaelhaven,Patriciafurt,226.59,4971.02,2026-07-07
SH00030,West Nicholas,North Heidiport,400.63,7471.18,2026-06-03
SH00031,Joelbury,Nuneztown,251.56,6109.86,2026-06-12
SH00032,North Josephfurt,Port William,493.15,4529.93,2026-06-19
SH00033,Jonesside,Coleside,227.99,5752.35,2026-06-09
SH00034,Westhaven,Port Jeffreyburgh,274.99,3689.47,2026-05-29
SH00035,Kendraville,New Paul,488.9,1756.16,2026-07-10
SH00036,Lake Raymond,New Jessicafort,443.23,4665.64,2026-06-11
SH00037,Edwardberg,Port Noahmouth,193.69,1479.26,2026-06-09
SH00038,South Alexis,South Curtis,164.3,882.93,2026-06-03
SH00039,West Ellenfurt,East Stephen,9.12,422.92,2026-06-20
SH00040,Lake Alanside,Matthewburgh,239.19,5143.02,2026-06-06
SH00041,Littlebury,Walkerberg,487.26,3355.49,2026-06-18
SH00042,West Dawn,Wardville,71.02,5040.99,2026-06-02
SH00043,Kennedychester,Blakeborough,405.23,887.93,2026-07-11
SH00044,Anthonyside,Johnsonview,468.8,800.17,2026-05-26
SH00045,Cynthiachester,South Melissa,284.66,9935.01,2026-07-02
